rank,team,accuracy_percent,correct,total,coverage_percent,updated_utc
1,PooRi,96.5,193,200,100.0,2026-05-16T15:54:49+00:00
2,fosu ltw,92.0,184,200,100.0,2026-05-06T16:26:46+00:00
3,pranshu rastogi,92.0,184,200,100.0,2026-05-21T03:36:30+00:00
4,NLP-DE,87.0,174,200,100.0,2026-05-23T10:17:05+00:00
5,UyoAngle,77.0,154,200,100.0,2026-05-15T11:53:07+00:00
6,TextSentinels,76.5,153,200,100.0,2026-05-20T11:41:29+00:00
7,TCLabs,75.5,151,200,100.0,2026-05-13T07:34:17+00:00
8,AI_TLfanclub,70.5,141,200,100.0,2026-05-15T06:47:08+00:00
9,DS@GT - FinMMEval Task 1,64.5,129,200,100.0,2026-05-09T19:20:42+00:00
10,FinEval,46.5,93,200,100.0,2026-05-21T10:05:11+00:00
11,Vitt Manthan,26.5,53,200,100.0,2026-05-21T01:23:13+00:00
