rank,team,accuracy_percent,correct,total,coverage_percent,updated_utc
1,PooRi,97.5,195,200,100.0,2026-05-09T10:34:30+00:00
2,fosu ltw,93.5,187,200,100.0,2026-05-06T16:04:06+00:00
3,pranshu rastogi,91.0,182,200,100.0,2026-05-21T03:36:50+00:00
4,NLP-DE,87.5,175,200,100.0,2026-05-23T10:15:57+00:00
5,UyoAngle,83.0,166,200,100.0,2026-05-15T11:52:17+00:00
6,TextSentinels,81.5,163,200,100.0,2026-05-20T11:39:44+00:00
7,AI_TLfanclub,80.5,161,200,100.0,2026-05-15T06:45:54+00:00
8,TCLabs,79.0,158,200,100.0,2026-05-13T07:33:17+00:00
9,DS@GT - FinMMEval Task 1,69.5,139,200,100.0,2026-05-09T19:19:47+00:00
10,FinEval,66.5,133,200,100.0,2026-05-21T11:52:11+00:00
11,Paticipate,64.5,129,200,100.0,2026-05-18T12:31:46+00:00
12,Vitt Manthan,29.5,59,200,100.0,2026-05-20T22:17:05+00:00
13,FinEval,26.5,53,200,100.0,2026-05-21T11:56:24+00:00
