rank,team,accuracy_percent,correct,total,coverage_percent,updated_utc
1,fosu ltw,92.0,184,200,100.0,2026-05-06T16:41:10+00:00
2,PooRi,92.0,184,200,100.0,2026-05-09T10:45:52+00:00
3,pranshu rastogi,91.5,183,200,100.0,2026-05-21T03:36:10+00:00
4,TCLabs,90.0,180,200,100.0,2026-05-12T07:38:26+00:00
5,UyoAngle,87.0,174,200,100.0,2026-05-15T11:53:27+00:00
6,NLP-DE,85.5,171,200,100.0,2026-05-23T10:17:48+00:00
7,DS@GT - FinMMEval Task 1,73.5,147,200,100.0,2026-05-09T19:21:18+00:00
8,AI_TLfanclub,68.5,137,200,100.0,2026-05-15T06:47:34+00:00
9,FinEval,62.5,125,200,100.0,2026-05-21T11:56:02+00:00
10,Vitt Manthan SVNIT,31.0,62,200,100.0,2026-05-21T00:22:55+00:00
